
2024/11/19 (20:36:51) | ===> btop++ v.1.4.0
2024/11/19 (20:36:51) | WARNING: Intel GPU: Failed to initialize PMU
2024/11/19 (20:37:28) | INFO: Logger set to INFO

2024/11/26 (00:47:27) | ===> btop++ v.1.4.0
2024/11/26 (00:47:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (00:47:32) | ===> btop++ v.1.4.0
2024/11/26 (00:47:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (20:32:28) | ===> btop++ v.1.4.0
2024/12/16 (20:32:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (01:34:00) | ===> btop++ v.1.4.0
2025/01/06 (01:34:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/23 (01:19:32) | ===> btop++ v.1.4.0
2025/02/23 (01:19:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (19:08:38) | ===> btop++ v.1.4.0
2025/03/12 (19:08:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (00:34:24) | ===> btop++ v.1.4.0
2025/03/13 (00:34:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (17:51:06) | ===> btop++ v.1.4.0
2025/03/19 (17:51:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (05:43:25) | ===> btop++ v.1.4.0
2025/03/22 (05:43:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (05:43:39) | ===> btop++ v.1.4.0
2025/03/22 (05:43:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (02:13:29) | ===> btop++ v.1.4.0
2025/03/24 (02:13:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (22:21:48) | ===> btop++ v.1.4.0
2025/03/25 (22:21:48) | WARNING: Intel GPU: Failed to initialize PMU
